hypothesis_id,C1_dims,C2_dims,DII_score,R_path
1,0.1321,[0],[1],trained_models\mnistnn_pairs\R_1.bin
2,0.1661,"[0, 1]","[2, 3]",trained_models\mnistnn_pairs\R_2.bin
3,0.2288,"[0, 1, 2]","[3, 4, 5]",trained_models\mnistnn_pairs\R_3.bin
4,0.2541,"[0, 1, 2, 3]","[4, 5, 6, 7]",trained_models\mnistnn_pairs\R_4.bin
5,0.3045,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",trained_models\mnistnn_pairs\R_5.bin
6,0.3467,"[0, 1, 2, 3, 4, 5]","[6, 7, 8, 9, 10, 11]",trained_models\mnistnn_pairs\R_6.bin
7,0.3862,"[0, 1, 2, 3, 4, 5, 6]","[7, 8, 9, 10, 11, 12, 13]",trained_models\mnistnn_pairs\R_7.bin
8,0.4124,"[0, 1, 2, 3, 4, 5, 6, 7]","[8, 9, 10, 11, 12, 13, 14, 15]",trained_models\mnistnn_pairs\R_8.bin
9,0.4532,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[9, 10, 11, 12, 13, 14, 15, 16, 17]",trained_models\mnistnn_pairs\R_9.bin
10,0.4542,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",trained_models\mnistnn_pairs\R_10.bin
